"sigla","pais","grupo_idh","regiao","ranking_idh","idh","idh_ev","idh_ee","idh_me","idh_rpc","gdi","gdi_idh_f","gdi_ev_f","gdi_ee_f","gdi_me_f","gdi_rpc_f","gdi_idh_m","gdi_ev_m","gdi_ee_m","gdi_me_m","gdi_rpc_m","extra_ap_f","extra_ap_m","extra_ft_f","extra_ft_m","extra_co2","extra_pop"
"MNG","Mongólia","Alto","Ásia do Leste e Pacífico",96,0.741,72.667,14.51719515,9.423700333,10350.86141,1.032,0.751138056,77.375,15.2856874,9.949589729,8099.013995,0.727754095,68.079,13.77597532,8.847709656,12639.57587,17.10526316,82.89473684,53.48,68.4,11.42747646,3.398366
"MNE","Montenegro","Muito Alto","Europa e Ásia Central",50,0.844,76.845,15.08475971,12.61621288,22513.26314,0.978,0.833396974,80.262,15.55858994,12.0696905,17543.32196,0.852441413,73.48,14.63002968,13.19888451,27749.88278,27.16049383,72.83950617,44.41,57.82,3.67088789,0.6270825
"MAR","Marrocos","Mediano","Países Árabes",120,0.698,74.973,14.59442043,6.05,7954.522461,0.851,0.62769515,77.177,14.49855042,5.14,2967.813616,0.73722659,72.896,14.68883991,6.98,12875.95846,21.3592233,78.6407767,19.8,69.6,1.959225801,37.4579705
"MOZ","Moçambique","Baixo","África Sub-sahariana",183,0.461,59.625,10.72532345,3.860090017,1219.241361,0.929,0.443026083,62.688,10.32496843,3.228760004,1059.588454,0.477108277,56.529,11.12771273,4.394440174,1384.984659,42.4,57.6,73.94,80.05,0.22416011,32.9695185
"MMR","Mianma","Mediano","Ásia do Leste e Pacífico",144,0.608,67.256,12.06090998,6.518157697,4037.705141,0.941,0.582895575,70.478,12.32135567,6.195670039,2545.032167,0.619449409,64.18,11.33528763,6.924247023,5544.449482,14.97659906,85.02340094,44.17,78.56,0.66209607,54.179306
"NAM","Namíbia","Mediano","África Sub-sahariana",142,0.61,58.059,11.75997928,7.243458294,9200.026599,1.006,0.61186765,61.704,11.74091522,7.515436441,7827.178397,0.608128294,54.592,11.76220292,6.957704422,10672.50566,35.61643836,64.38356164,54.12,61.19,1.475168873,2.5670125
"NRU","Nauru","Mediano","Ásia do Leste e Pacífico",122,0.696,64.014,12.56089218,9.247975,14938.55659,1.037,0.708418745,67.841,14.37941093,9.327438733,11557.62601,0.683031041,60.52,11.04382186,9.168511267,18213.35695,10.52631579,89.47368421,56.79,73.63,4.278315083,0.012668
"NPL","Nepal","Mediano","Ásia do Sul",146,0.601,70.484,12.64451981,4.485598758,4025.554685,0.885,0.56228259,72.364,12.82380009,3.424288376,2608.972525,0.635119215,68.608,12.46627045,5.71329857,5563.52862,33.83233533,66.16766467,27.91,54.95,0.520339794,30.54758
"NLD","Holanda","Muito Alto",NA,10,0.946,82.451,18.58348083,12.58162975,57278.31015,0.96,0.925345508,83.904,18.94418907,12.3527298,44138.75911,0.964330297,80.944,18.23270988,12.81820965,70575.20185,37.77777778,62.22222222,63.58,72.35,7.99391099,17.564014
"NZL","Nova Zelândia","Muito Alto",NA,16,0.939,83.006,19.68234062,12.94468975,43665.49848,0.97,0.923885929,84.726,20.16286087,12.93587971,34940.48724,0.952721713,81.251,19.19734955,12.95394039,52542.06324,50.42016807,49.57983193,66.9,75.87,6.690024635,5.1852885
"NIC","Nicarágua","Mediano","América Latina e Caribe",130,0.669,74.615,12.58347787,7.26,5426.50618,0.949,0.647449551,77.556,12.26851409,7.54,3596.019567,0.6821586,71.613,12.83280479,6.95,7310.893926,51.64835165,48.35164835,48.61,81.06,0.78595264,6.948392
"NER","Níger","Baixo","África Sub-sahariana",189,0.394,62.08,7.186131428,1.341352433,1283.309235,0.826,0.353647715,63.401,6.492571987,0.965615989,892.9687724,0.428138733,60.816,7.857345925,1.772790407,1662.527106,25.90361446,74.09638554,64.56,96.49,0.120343462,26.2079765
"NGA","Nigéria","Baixo","África Sub-sahariana",161,0.548,53.633,10.51407,7.585969925,4754.836408,0.886,0.514786405,53.968,10.2043,6.556469917,4110.221793,0.580873335,53.295,10.83738,8.700360298,5385.706047,4.47761194,95.52238806,77.04,85.66,0.614401064,218.5412115
"MKD","Macedônia","Alto","Europa e Ásia Central",83,0.765,73.888,13.00483036,10.22815037,16395.75173,0.95,0.74369174,76.16,13.4289999,9.653639793,11525.75224,0.783022218,71.733,12.60997009,10.8074398,21296.31224,41.66666667,58.33333333,42.22,64.14,3.65558424,2.0935985
"NOR","Noruega","Muito Alto",NA,2,0.966,83.393,18.63846016,13.06234279,69189.76165,0.986,0.957147512,85.055,19.5213604,13.21011267,61067.47743,0.970415403,81.718,17.80384064,12.91269245,77164.33022,44.9704142,55.0295858,62.53,69.59,7.573540802,5.434319
"OMN","Omã","Muito Alto","Países Árabes",59,0.819,73.935,12.96403027,11.89274979,32967.43827,0.937,0.780083394,76.046,13.46502972,12.27042007,13055.18531,0.832785671,72.356,12.58940983,11.69499016,45769.09652,9.941520468,90.05847953,34.97,83.84,15.67723806,4.576298
"PAK","Paquistão","Baixo","Ásia do Sul",164,0.54,66.431,7.89510849,4.422319019,5374.270423,0.834,0.479544875,68.918,7.336258257,3.928515917,2120.097428,0.574877828,64.134,8.426956754,4.793410015,8571.08282,20.13574661,79.86425339,24.53,80.67,0.965638962,235.8248625
"PLW","Palau","Alto","Ásia do Leste e Pacífico",71,0.797,65.362,17.21987569,13.04790021,19343.81199,1.007,0.802126774,69.314,18.34244991,13.34296124,15158.95089,0.796834796,62.2,16.88344295,12.75283918,23217.78239,6.896551724,93.10344828,59.82,73.61,12.30304039,0.0180545
"PSE","Palestina","Alto","Países Árabes",111,0.716,73.444,13.15474033,9.938480377,6936.258684,0.88,0.648750215,75.948,13.95713997,9.916460037,2133.98822,0.73707141,71.024,12.35840988,9.960129738,11758.99805,NA,NA,18.58,70.73,0.667726135,5.250072
"PAN","Panamá","Muito Alto","América Latina e Caribe",57,0.82,76.826,13.21381473,10.68696295,32029.36025,1.017,0.826278511,80.091,13.86388663,10.94374988,27610.88808,0.812639239,73.726,12.58595392,10.40059663,36447.35037,22.53521127,77.46478873,49.71,76.98,2.690641599,4.4085805
"PNG","Papua Nova Guiné","Mediano","Ásia do Leste e Pacífico",154,0.568,65.958,11.12736798,4.933631146,3710.326885,0.927,0.54619893,69.172,10.52003111,4.215786493,3218.98017,0.589011335,63.378,11.70354792,5.658960236,4171.434912,1.739130435,98.26086957,46.01,48.01,0.798668307,10.1426185
"PRY","Paraguai","Alto","América Latina e Caribe",102,0.731,70.475,13.91056957,8.861840248,13161.07522,0.994,0.727869625,73.571,14.58406313,8.856229782,10348.65536,0.732240438,67.645,13.27027902,8.867710114,15954.05195,16.8,83.2,59.06,82.38,1.381977592,6.780744
"PER","Peru","Alto","América Latina e Caribe",87,0.762,73.385,14.80487907,10.01696229,11916.35952,0.952,0.742111156,75.495,14.88586691,9.449307529,9515.281407,0.779496671,71.332,14.72138383,10.59717016,14365.2136,40,60,66.73,82.43,1.674913573,34.0495885
"PHL","Filipinas","Alto","Ásia do Leste e Pacífico",113,0.71,72.187,12.78335953,8.971409559,9058.840558,0.966,0.694156215,74.174,13.21805954,9.24822052,6178.765308,0.718281318,70.218,12.37481022,8.691971992,11850.59109,27.46268657,72.53731343,44.06,68.77,1.253546618,115.559009
"POL","Polônia","Muito Alto",NA,36,0.881,76.996,15.93451977,13.1647501,35150.9519,1.009,0.884045116,80.796,16.7074604,13.34002972,27366.28107,0.875937118,73.233,15.1922102,12.96819973,43446.29766,27.5,72.5,50.09,65.51,8.642569909,39.8571455
"PRT","Portugal","Muito Alto",NA,42,0.874,82.24,16.82140923,9.575940132,35314.99828,0.998,0.872538804,84.93,17.07019997,9.607560158,31845.37525,0.874035328,79.308,16.57933044,9.538669586,39198.81947,36.95652174,63.04347826,54.7,63.12,3.881234231,10.270865
